id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2015_0|El Comercio|El papa Francisco llegó al Ecuador|A las 14:44, el avión del papa Francisco aterrizó en el aeropuerto Mariscal Sucre de Quito, Ecuador. Con esto, el Santo Padre inicia oficialmente este 5 de julio ...|5 Jul. 2015|2015|polit
ecuador_elcomercio_2015_1|El Comercio|Nicolás Maduro llegó a Ecuador|El presidente venezolano, Nicolás Maduro, llegó, cerca del mediodía de este lunes 21 de septiembre, al aeropuerto Mariscal Sucre, en Tababela, para el ...|21 Sep. 2015|2015|polit
ecuador_elcomercio_2015_2|El Comercio|El Papa viene al Ecuador|Cuando Francisco era sacerdote jesuita -entonces Jorge Bergoglio- visitó Ecuador. El país es mayoritariamente católico, y la visita de Su Santidad será sin ...|18 abr. 2015|2015|crime
ecuador_elcomercio_2015_3|El Comercio|La Selección ecuatoriana lidera las eliminatorias al ganar 2-1 a Uruguay|La Selección ecuatoriana de fútbol ganó 2-1 a su similar de Uruguay, suma el puntaje perfecto y lidera el torneo premundialista jugadas las tres primeras ...|12 Nov. 2015|2015|polit
ecuador_elcomercio_2015_4|El Comercio|Las generales para el partido Ecuador vs. Bolivia se agotaron|Las entradas para las localidades de general del partido Ecuador vs. Bolivia por la segunda fecha de la eliminatoria mundialista de la Copa del Mundo Rusia ...|12 Oct. 2015|2015|polit
ecuador_elcomercio_2015_5|El Comercio|Ecuador congela cuentas de Luis Chiriboga por corrupción en FIFA|Las cuentas bancarias de Luis Chiriboga, presidente de la Federación Ecuatoriana de Fútbol (FEF), fueron congeladas en Ecuador dentro de una indagación ...|4 dic. 2015|2015|corrupt
ecuador_elcomercio_2015_6|El Comercio|Canciller cubano visitó Ecuador y Nicaragua para abordar problema ...|El canciller de Cuba, Bruno Rodríguez, viajó a Ecuador y Nicaragua los días 19 y 20 de noviembre, para tratar con sus presidentes, Rafael Correa y Daniel ...|22 Nov. 2015|2015|polit
ecuador_elcomercio_2015_7|El Comercio|Argentina, sin Lionel Messi, derrotó al Ecuador en partido amistoso|La Selección de Ecuador perdió con Argentina, subcampeón mundial, en el segundo amistoso desde que Gustavo Quinteros asumió la dirección técnica de la ...|31 Mar. 2015|2015|polit
ecuador_elcomercio_2015_8|El Comercio|Ecuador busca afianzar el comercio con Perú|La cita que mantienen hoy, 18 de diciembre del 2015, los presidentes de Ecuador, Rafael Correa, y su homólogo del Perú, Ollanta Humala, durante el IX ...|17 dic. 2015|2015|economi
ecuador_elcomercio_2015_9|El Comercio|¡Monumental victoria 2-0 de la Tricolor en Buenos Aires!|En una histórica fecha para el fútbol ecuatoriano, la Selección de Ecuador ganó 2-0 al conjunto argentino en el estadio Monumental Antonio Vespucio Liberti ...|9 Oct. 2015|2015|polit
ecuador_elcomercio_2015_10|El Comercio|Manuela Picq quiere quedarse en Ecuador|Al menos 13 entrevistas telefónicas y una en un estudio de televisión ha brindado el martes 18 de agosto la periodista brasileña-francesa Manuela Picq.|18 ago. 2015|2015|economi
ecuador_elcomercio_2015_11|El Comercio|Conozca el rendimiento de Venezuela jugando como local ante ...|La Selección de Ecuador tiene la posibilidad de finalizar las eliminatorias ... Una crónica de diario EL COMERCIO, en ese entonces, describió el partido con el ...|17 Nov. 2015|2015|polit
ecuador_elcomercio_2015_12|El Comercio|Crudo Ecuador se despide definitivamente de redes sociales|A través de una publicación en el perfil de Facebook, el administrador de la página satírica, Crudo Ecuador, anunció su retiro de carácter definitivo de las redes ...|19 Feb. 2015|2015|health
ecuador_elcomercio_2015_14|El Comercio|20 000 familias viven del reciclaje en el Ecuador|El 50% de las 245 000 toneladas de papel, vidrio y cartón que se reciclaron durante el 2014 en el Ecuador fueron compiladas por los recicladores de base.|18 Mar. 2015|2015|health
ecuador_elcomercio_2015_15|El Comercio|Ecuador y Freedom House|Una vez más el Ecuador está en la mira. Esta vez el informe de Freedom House pone al país en el puesto 32 de un total de 35 Estados. Se trata de un ...|30 abr. 2015|2015|polit
ecuador_elcomercio_2015_16|El Comercio|El papa Francisco llegará al 'paraíso', dice presidente de Ecuador|El presidente Rafael Correa dio el lunes 29 de junio del 2015 la bienvenida al papa Francisco a Ecuador, un país al que describió como el 'paraíso' y adonde ...|29 Jun. 2015|2015|polit
ecuador_elcomercio_2015_17|El Comercio|Ecuador deberá pagar a la Oxy USD 1061,7 millones|El Comité del Centro de Diferencias Relativas a Inversiones (Ciadi) del Banco Mundial, que trataba el pedido de nulidad del Ecuador en el caso de arbitraje ...|2 Nov. 2015|2015|polit
ecuador_elcomercio_2015_18|El Comercio|Suecia y Ecuador inician negociaciones para desbloquear el caso ...|Representantes de los gobiernos de Suecia y Ecuador abren hoy, 31 de agosto de 2015, en Estocolmo negociaciones para lograr un acuerdo que permita ...|31 ago. 2015|2015|crime
ecuador_elcomercio_2015_19|El Comercio|Cubanos protestan en La Habana por imposición de visa a Ecuador|Casi 500 cubanos que habían comprado pasajes de avión para viajar a Ecuador protestan furiosos este viernes 27 de noviembre del 2015 frente a la ...|27 Nov. 2015|2015|polit
ecuador_elcomercio_2015_20|El Comercio|Colombia da espaldarazo al acuerdo de Ecuador con la UE|Colombia lo que hace es apoyar el ingreso de Ecuador al acuerdo con la Unión ... El comercio bilateral se redujo en el 2015 y las autoridades de ambos países ...|15 dic. 2015|2015|polit
ecuador_elcomercio_2015_21|El Comercio|Supercom sustenta llamado de atención a 'Ecuador tiene talento'|La Superintendencia de la Información y la Comunicación (Supercom) se pronunció hoy, 25 de septiembre de 2015, sobre la postura de Fundamedios ante la ...|25 Sep. 2015|2015|polit
ecuador_elcomercio_2015_22|El Comercio|Sharon, la cantante que hechizó al Ecuador|Su página en Facebook la define: “Yo soy Sharon, La Hechicera, y tú eres mi pecado Ecuador”. Aunque pocos la conocían por su verdadero nombre, Rosario ...|4 ene. 2015|2015|polit
ecuador_elcomercio_2015_23|El Comercio|Críticas nacionales e internacionales a través de redes sociales al ...|Las reacciones al comercial de Ecuador que se transmitió ayer, 1 de febrero del 2015, en el Super Bowl no se hicieron esperar. Entre estas reacciones también ...|2 Feb. 2015|2015|economi
ecuador_elcomercio_2015_24|El Comercio (Ecuador)|Exigencia de visado a cubanos entró en vigencia desde este 1 de ...|La exigencia de visado para los cubanos entró hoy (1 de diciembre) en vigor en Ecuador, cuyo Gobierno tomó esa medida ante la crisis generada por el flujo ...|1 dic. 2015|2015|educ
ecuador_elcomercio_2015_25|El Comercio|Ecuador integra la lista de los 10 países más 'positivos' del mundo ...|Paraguay (87%), Colombia, Ecuador y Guatemala (84%), Honduras, Panamá y Venezuela (82%), Costa Rica, El Salvador y Nicaragua (81%) registran los ...|27 ago. 2015|2015|economi
ecuador_elcomercio_2015_26|El Comercio|44 883 personas establecieron un nuevo Récord Guinness para ...|La meta se cumplió. Ecuador logró, pasado el medio día de este sábado 16 de mayo, establecer un nuevo Récord Guinness de la mayor cantidad de personas ...|16 May. 2015|2015|crime
ecuador_elcomercio_2015_27|El Comercio|Diego Aulestia se estrena en Comercio Exterior|El nuevo ministro de Comercio Exterior, Diego Aulestia, deberá mantener el ... de Desarrollo Urbano y Economía del Desarrollo en Ecuador y Venezuela.|19 Feb. 2015|2015|economi
ecuador_elcomercio_2015_28|El Comercio|Me mantendré dibujando', dice Bonil tras recibir nueva sanción en ...|Xavier Bonilla 'Bonil', quien el viernes, 13 de febrero de 2015, recibió una segunda amonestación en un año por sus viñetas, seguirá dibujando las caricaturas ...|13 Feb. 2015|2015|polit
ecuador_elcomercio_2015_29|El Comercio|China, el aliado estratégico de Ecuador|Desde los inicios de la Revolución Ciudadana, China se ha convertido en el país con el cual Ecuador ha mantenido estrechas relaciones. La visita oficial del ...|9 ene. 2015|2015|polit
ecuador_elcomercio_2015_30|El Comercio|La Conaie convoca a un levantamiento indígena y de pueblos del ...|Hoy, 18 de julio del 2015, los asistentes a la asamblea ordinaria anual de la Confederación de Nacionalidades Indígenas del Ecuador decidieron convocar a ...|18 Jul. 2015|2015|crime
ecuador_elcomercio_2015_31|El Comercio|La relación de Ecuador y México|Los vínculos que unen a México con Ecuador se siguen fortaleciendo. En una década hemos duplicado nuestro comercio bilateral. Los flujos de inversión, ...|20 Jul. 2015|2015|educ
ecuador_elcomercio_2015_32|El Comercio|La periodista Manuela Picq dejará Ecuador este 21 de agosto|Y sigue: “Mi relación con el movimiento indígena, con Carlos (Pérez) y con Ecuador son parte de mí. Soy profundamente ecuatoriana, lo cargaré toda la vida ...|21 ago. 2015|2015|polit
ecuador_elcomercio_2015_33|El Comercio|El aborto por violación vuelve al debate político|Los boletines de prensa informativos fueron uniformes: la delegación oficial ecuatoriana que expuso la situación de las mujeres en el país ante las Naciones ...|6 Mar. 2015|2015|polit
ecuador_elcomercio_2015_34|El Comercio|Según Correa, antes del 2007 Ecuador se repartía 'cual botín entre ...|El Presidente de Ecuador, Rafael Correa, aseguró hoy, 28 de agosto, que desde que asumió el poder en 2007 se ha registrado un cambio de las relaciones de ...|28 ago. 2015|2015|economi
ecuador_elcomercio_2015_35|El Comercio|Ecuador respeta tratados de propiedad y adelanta normativa contra ...|"Ecuador ""respeta las obligaciones asumidas en los tratados internacionales de comercio de los cuales forma parte"" y, por esa razón la Asamblea Nacional ..."|30 abr. 2015|2015|polit
ecuador_elcomercio_2015_37|El Comercio|Ecuador y Colombia en intensa negociación por la salvaguardia|Durante más de ocho horas los ministros de Comercio Exterior de Ecuador y Colombia, Francisco Rivadeneira y Cecilia Álvarez - Correa analizaron la ...|14 ene. 2015|2015|polit
