id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2015_0|El Comercio|El papa Francisco llegó al Ecuador|A las 14:44, el avión del papa Francisco aterrizó en el aeropuerto Mariscal Sucre de Quito, Ecuador. Con esto, el Santo Padre inicia oficialmente este 5 de julio ...|5 Jul. 2015|2015|polit
ecuador_elcomercio_2015_15|El Comercio|Ecuador y Freedom House|Una vez más el Ecuador está en la mira. Esta vez el informe de Freedom House pone al país en el puesto 32 de un total de 35 Estados. Se trata de un ...|30 abr. 2015|2015|polit
ecuador_elcomercio_2015_16|El Comercio|El papa Francisco llegará al 'paraíso', dice presidente de Ecuador|El presidente Rafael Correa dio el lunes 29 de junio del 2015 la bienvenida al papa Francisco a Ecuador, un país al que describió como el 'paraíso' y adonde ...|29 Jun. 2015|2015|polit
ecuador_elcomercio_2015_19|El Comercio|Cubanos protestan en La Habana por imposición de visa a Ecuador|Casi 500 cubanos que habían comprado pasajes de avión para viajar a Ecuador protestan furiosos este viernes 27 de noviembre del 2015 frente a la ...|27 Nov. 2015|2015|polit
ecuador_elcomercio_2015_21|El Comercio|Supercom sustenta llamado de atención a 'Ecuador tiene talento'|La Superintendencia de la Información y la Comunicación (Supercom) se pronunció hoy, 25 de septiembre de 2015, sobre la postura de Fundamedios ante la ...|25 Sep. 2015|2015|polit
ecuador_elcomercio_2015_22|El Comercio|Sharon, la cantante que hechizó al Ecuador|Su página en Facebook la define: “Yo soy Sharon, La Hechicera, y tú eres mi pecado Ecuador”. Aunque pocos la conocían por su verdadero nombre, Rosario ...|4 ene. 2015|2015|polit
ecuador_elcomercio_2015_28|El Comercio|Me mantendré dibujando', dice Bonil tras recibir nueva sanción en ...|Xavier Bonilla 'Bonil', quien el viernes, 13 de febrero de 2015, recibió una segunda amonestación en un año por sus viñetas, seguirá dibujando las caricaturas ...|13 Feb. 2015|2015|polit
ecuador_elcomercio_2015_32|El Comercio|La periodista Manuela Picq dejará Ecuador este 21 de agosto|Y sigue: “Mi relación con el movimiento indígena, con Carlos (Pérez) y con Ecuador son parte de mí. Soy profundamente ecuatoriana, lo cargaré toda la vida ...|21 ago. 2015|2015|polit
ecuador_elcomercio_2015_49|El Comercio|Los trabajadores anuncian una huelga nacional que paralizará las ...|Mesías Tatamuez, presidente de la Confederación Ecuatoriana de Organizaciones Clasistas Unitarias de Trabajadores (Cedocut), anunció el martes 18 de ...|18 ago. 2015|2015|polit
ecuador_elcomercio_2015_50|El Comercio|Presidente Rafael Correa defiende la explotación petrolera en la ...|El presidente Rafael Correa defendió este lunes (28 de septiembre del 2015) ante la ONU la explotación de petróleo en la Amazonía ecuatoriana, pero expresó ...|28 Sep. 2015|2015|polit
ecuador_elcomercio_2015_55|El Comercio|Ecuador contestó a Chevron sobre supuesto fraude procesal|Diego García, procurador del Estado, señaló que la prueba forense del Ecuador, que incluye la pericia de las computadoras del Juez que dictó la sentencia del ...|12 May. 2015|2015|polit
ecuador_elcomercio_2015_62|El Comercio|Tribunal arbitral reconoce argumentos de Ecuador en litigio contra ...|El Tribunal Arbitral que conoce el caso Chevron III contra el Ecuador emitió hoy jueves 12 de marzo del 2015 un dictamen que reconoce parte de los ...|12 Mar. 2015|2015|polit
ecuador_elcomercio_2015_76|El Comercio|Menchú respalda a Ecuador en campaña contra Chevron por ...|La Premio Nobel de la Paz guatemalteca Rigoberta Menchú dio hoy su apoyo a la campaña del gobierno ecuatoriano en rechazo a la contaminación que dejó ...|3 Jun. 2015|2015|polit
ecuador_elcomercio_2015_77|El Comercio|El Ecuador y la CIDH|El 156º período de sesiones de la Comisión Interamericana de Derechos Humanos (CIDH) ha registrado el retorno de Ecuador a ese organismo con sede en ...|21 Oct. 2015|2015|polit
ecuador_elcomercio_2015_79|El Comercio|Dos de cada 10 niños trabajan en la Sierra centro de Ecuador|El informe 'Trabajo infantil en Ecuador: hacia un entendimiento integral de la problemática' lo revela. El documento fue presentado la mañana de este jueves ...|27 ago. 2015|2015|polit
ecuador_elcomercio_2015_80|El Comercio|Facebook es la red social más utilizada en el Ecuador y no tiene ...|En el Ecuador, cerca de un 98% de personas que están sobre la franja de edad de los 12 años tiene una cuenta en Facebook. Así lo demostraron los ...|15 abr. 2015|2015|polit
ecuador_elcomercio_2015_82|El Comercio|Molestia en Costa Rica por campaña turística ecuatoriana|La Cancillería de Costa Rica y el Instituto Costarricense de Turismo expresaron su malestar y su preocupación por la campaña que busca cautivar a los turistas ...|13 abr. 2015|2015|polit
ecuador_elcomercio_2015_87|El Comercio|Rescatan en México a cuatro pescadores de Ecuador y Colombia que ...|La Marina de México rescató en la costa de Chiapas (sureste) a cuatro pescadores de Ecuador y Colombia que aparentemente salieron en una embarcación ...|2 Nov. 2015|2015|polit
ecuador_elcomercio_2015_89|El Comercio|Enlace Ciudadano 434, desde Santa Rosa,El Oro|Tenemos a la gloria del Ecuador, Lenin Preciado, medalla de oro en judo, .... No caigamos en sus titulares como de El Comercio, El Universo, Ecuavisa.|26 Jul. 2015|2015|polit
ecuador_elcomercio_2015_90|El Comercio|Petrobras demanda al Estado ecuatoriano por USD 830 millones|Una nueva demanda se suma a la lista de arbitrajes que el Ecuador enfrenta en cortes internacionales por más de USD 6 670 millones. La petrolera brasileña ...|8 Nov. 2015|2015|polit
ecuador_elcomercio_2015_96|El Comercio|Falleció el escritor Miguel Donoso Pareja|Su actual esposa Isabel Huerta de Donoso dijo a Diario EL COMERCIO que el ... empiezo a acordarme' (1994), 'Ecuador: identidad o esquizofrenia' (1998).|16 Mar. 2015|2015|polit
ecuador_elcomercio_2015_98|El Comercio|Los twitteros debatieron sobre la nueva Miss Ecuador|La elección de la guayaquileña Francesca Cipriani como la nueva Miss Ecuador fue motivo de debate en las redes sociales. Una de las favoritas era María ...|15 Mar. 2015|2015|polit
