diario|snippet|time|title|svm_prediction|year|id_news
El Universo|La escuela merece un cambio radical. Las reformas educativas han sido maquillajes. Es el momento de actuar sobre la base de la realidad, con la participación ...|23 feb. 2015 -|El Ecuador necesita una nueva escuela|educ||
El Universo|Juan Mandu caminó dos horas desde la escuela Chapints para regresar a su casa, ... Escuelas de Ecuador tendrán seguro contra catástrofes o vandalismo.|31 oct. 2018 -|130 niños shuar hacen largas caminatas para ir a la escuela|educ||
El Universo|Entonces vamos a construir las escuelas del Siglo XXI”, agregó el mandatario. Las Escuelas del Siglo ...|24 sep. 2016 -|El Gobierno ecuatoriano ahora construirá escuelas del 'Siglo XXI'|educ||
El Universo|Un segundo grupo de 19 escuelas, cuyos problemas -según la entidad- están resueltos, ... Seis estadios y coliseos del Ecuador arrastran pagos no legalizados ...|17 ago. 2018 -|USD 19,9 millones más costaron 25 escuelas|educ||
El Universo|En Ecuador no se puede conocer cuántos 'homeschoolers' (niños y ... sus hijos; evitar situaciones de violencia que se producen en la escuela; enfermedad del ...|24 sep. 2018 -|¿Cómo educar en casa, en Ecuador?|educ||
El Universo|Graciela Valero es directora, maestra, está a cargo de la colación escolar y cuida de los libros del salón de lectura. Su escritorio marca el centro de un aula, ...|17 abr. 2018 -|El 52% de escuelas de Ecuador es unidocente y bidocente|educ||
El Universo|El año escolar en la región Sierra-Amazonía se inició este 1 de septiembre del 2015 con algunos cambios, por la aprobación de las reformas a la Ley de ...|1 sep. 2015 -|Para ser profesor en escuelas y colegios públicos en el Ecuador se ...|educ||
El Universo|Las escuelas unidocentes y bidocentes representan el 52% de las 12 296 unidades educativas fiscales a escala nacional. Así lo indicó Fander Falconí, ministro ...|6 abr. 2018 -|Las escuelas del milenio cubren al 3,6% de los estudiantes del ...|educ||
El Universo|Estudiantes de la escuela República del Ecuador revisan los textos de ... Algunas de las escuelas donde se enseña sobre la cultura afro son la Luis Vargas ...|9 jul. 2018 -|Etnoeducación en 11 escuelas de Esmeraldas|educ||
El Universo|“Díganles a sus mamis y papis que ellos no pueden quedarse en la escuela. Aquí las sorpresas son solo para los niños”, será el pedido. Eso cuenta Marcia ...|3 oct. 2016 -|131 757 niños de 3 y 4 años, a clases en la escuela fiscal|educ||
El Universo|Los niños de la escuela Abraham Calazacón juegan indiferentes a los ... La escuela Julio Jaramillo Laurido es uno de los planteles que tenía que ... El arancel para zapatos deportivos se reduce y para implementos se baja a cero en Ecuador.|15 oct. 2018 -|Los niños no pueden usar tres escuelas nuevas|educ||
El Universo|Busca medir si tienen conocimientos mínimos o estándares, que el Ministerio de Educación cree necesario fijar desde que se inicia la escuela hasta que se ...|9 nov. 2016 -|Los colegios más caros en Quito no obtienen la mejor nota|educ||
El Universo|La escuela UNE, ubicada en el sector de La Luz, en el norte de Quito, fue la cuarta institución visitada por el nuevo observatorio Así es el Ecuador. Ahí se ...|5 abr. 2015 -|La interculturalidad en la escuela es evaluada|educ||
El Universo|Ocurrió el pasado 12 de junio en la amazónica parroquia Sevilla, del cantón Cascales, provincia de Sucumbíos, cerca de la frontera de Ecuador con Colombia.|2 jul. 2018 -|Niña de 12 años sacada por la fuerza de escuela en Cascales lleva ...|educ||
El Universo| Esta escuela tiene un poco más de un año de funcionamiento y se cae a pedazos… es prefabricada y construida por los chinos. Todo está dañado. Desde que ...|8 sep. 2018 -|Escuelas del infierno|educ||
El Universo|Informe sobre escuelas del milenio en el IAEN, Instituto de Altos Estudios Nacionales. Ruth Intriago, Directora Nacional de Investigación del Ministerio de ...|16 ago. 2017 -|Informe sobre impacto de las escuelas del milenio fue difundido|educ||
El Universo|Estudiantes de sexto de básica de la Escuela Abdón Calderón, en Aláquez, ... Los niños conocen que en el Ecuador hay volcanes y muchos de ellos son ...|17 dic. 2015 -|El Cotopaxi se volvió una asignatura en las escuelas|educ||
El Universo|Niños en Ecuador podrán ingresar al inicial 2 sin cumplir los 4 años ... En mi escuela tuve casos de dos niños que cumplían 4 años por el 30 de septiembre, ...|11 jun. 2018 -|Niños en Ecuador podrán ingresar al inicial 2 sin cumplir los 4 años ...|educ||
El Universo| redes sociales han circulado videos, fotos y audios sobre supuestos temas de educación sexual que se trataría de incluir en escuelas y colegios del Ecuador.|5 oct. 2017 -|Ministerio de Educación niega autoría de libros, guías o documentos ...|educ||
El Universo|La enseñanza de inglés vuelve a la escuela, en medio de dudas .... desde hace más de un siglo, se empezó a enseñar inglés en los planteles de Ecuador.|13 sep. 2016 -|La enseñanza de inglés vuelve a la escuela, en medio de dudas|educ||
El Universo|Las instituciones educativas de Ecuador, entre escuelas y colegios, contarán con un seguro contra incendios, otros fenómenos naturales o actos de vandalismo ...|23 oct. 2018 -|Escuelas de Ecuador tendrán seguro contra catástrofes o vandalismo ...|educ||
El Universo|En la Escuela San Francisco de Quito, estudiantes y docentes organizan las raciones. ... Ecuador no es el único país que dota a planteles públicos de comida.|24 jun. 2017 -|Más de 3 millones de alumnos reciben colaciones en la escuela|educ||
El Universo|En la cuenta de Facebook del Ministerio Educación del Ecuador hay padres de familia que han consultado por ejemplo, si es legal que los planteles ...|15 jul. 2017 -|¿Puedo denunciar si en el colegio de mi hijo me cobran en exceso ...|educ||
El Universo|En la escuela José Luis Román se realiza el proceso de inscripción y cambio de domicilio para estudiantes de Quito. Foto: Patricio Terán / EL COMERCIO.|29 ago. 2018 -|Agrupación de hermanos en planteles fiscales depende|educ||
El Universo|no usar los fines de semana para realizar actividades en escuelas y colegios. ... Agenda de los feriados en Ecuador del 2018 al 2020, según el Decreto 858 ...|17 sep. 2018 -|¿Cuántos feriados y días libres tendrán los estudiantes en este ...|educ||
El Universo|La fusión de las escuelas interculturales no termina por calar entre los padres de familia y los alumnos. El objetivo -según el Ministerio de Educación- es ...|26 ene. 2015 -|Reclamo por escuelas que han sido fusionadas|educ||
El Universo|Según el UPC del cantón Balzar, en Guayas, un tiroteo dejó a una persona herida en el tobillo y a otra bajo arresto hoy (20 de abril del 2018).|20 abr. 2018 -|Una persona herida y otra detenida tras tiroteo en escuela secundaria ...|educ||
El Universo|Estudiantes de primaria de la escuela San Francisco de Quito fueron evacuados la mañana de este 28 de abril del 2017 hacia el parque La Carolina.|28 abr. 2017 -|1 200 estudiantes fueron evacuados de una escuela en el norte de ...|educ||
El Universo|Si ante su denuncia, en el plantel donde estudia su hijo le dicen: “aquí no hay bullying”, no se conforme. En Ecuador existe un Protocolo de actuación ante ...|15 jul. 2017 -|¿Qué hacer si su hijo es víctima de bullying y en el colegio lo niegan ...|educ||
El Universo|En Ecuador no hay un registro del número de homeschoolers (niños y adolescentes que se ... Esa hostilidad le causó estrés y resistencia a ir a la escuela.|23 sep. 2018 -|Sus hijos aprenden sin ir a ningún plantel|educ||
El Universo| Una gigantografía de todos los Presidentes de la República y un mapa del Ecuador adornan el aula donde 23 juveniles de la Universidad Católica reciben ...|15 nov. 2018 -|Universidad Católica se sacó 20/20 con su colegio en La Armenia|educ||
El Universo|El déficit de atención se detecta cuando el niño va a la escuela ... En Ecuador, según el Ministerio de Educación, hay 7 918 alumnos del sistema público, con el ...|1 may. 2017 -|El déficit de atención se detecta cuando el niño va a la escuela|educ||
El Universo|“La educación es fundamental para construir sociedades pacíficas y, sin embargo, para millones de niños la escuela no es un lugar seguro”, sostiene la ...|19 sep. 2018 -|¿Cuál es la nueva materia que estudiarán los alumnos de básica este ...|educ||
El Universo|La denominada 'meritocracia' ya se aplica actualmente en las escuelas militares del país. No hay condiciones diferentes para los aspirantes a oficiales o tropa.|3 mar. 2016 -|El aspirante ya accede por méritos a las escuelas|educ||
El Universo| Dos estudiantes de la Unidad Educativa Apuela de Cotacachi, provincia de Imbabura, en el norte de Ecuador, sufrieron heridas leves por la rotura de vidrios de ...|22 may. 2018 -|Estudiantes heridos y dos escuelas y un centro de salud afectados en ...|educ||
El Universo|En fechas como esta, Valentina participaba con su flauta traversa en coros. La recuerdo como una de esas fuentes de agua, ella desbordaba alegría. Con 11 ...|27 dic. 2017 -|Madre de Valentina: 'Recibí el cadáver de mi hija en la escuela'|educ||
El Universo| En Ecuador, sin embargo, un emprendimiento está revirtiendo esa tendencia y aprovechando el potencial de estos pequeños aparatos voladores. Es el caso de ...|22 mar. 2017 -|Los 'droneros' tienen sus escuelas|educ||
El Universo|El choque de un furgón contra una escuela dejó a dos niños con heridas de consideración. El accidente ocurrió la ... Actualidad Ecuador. 09 de febrero del ...|9 feb. 2018 -|Choque de camión contra escuela dejó a dos menores con heridas de ...|educ||
El Universo|Actualidad Ecuador ... Las paredes de la escuela La Inmaculada Fe y Alegría, ubicada en el casco patrimonial ... Se ha definido el cronograma de actividades para el estudio de la zona afectada cercana a la escuela con el fin de establecer si ...|18 sep. 2017 -|La escuela La Inmaculada Fe y Alegría de Zaruma será demolida|educ||
El Universo| En Ecuador habitan alrededor de 15 millones de ciudadanos y todos producen basura diariamente. En el 2014, se generaron 4,1 millones de toneladas de ...|18 may. 2016 -|En los colegios de Quito se incentiva el reciclaje|educ||
El Universo| Una intervención integral se aplicará en el colegio público del sur de Guayaquil donde estudiaba Brithany. La niña de 11 años falleció a causa de un derrame ...|16 may. 2018 -|Intervienen colegio de Guayaquil donde estudiaba la menor que fue ...|educ||
El Universo|El problema dela violencia en las escuelas de Florida es materia sensible, pues ... persona herida y otra detenida tras tiroteo en escuela secundaria de Florida ...|25 oct. 2018 -|Niñas fueron aisladas en Florida por supuesto plan para atacar a sus ...|educ||
