diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
El Universo,ecuador_eluniverso_2015_2,La caida 2-0 ante Chile en el debut de Ecuador en la Copa America quedo ... enviaron a traves de EL UNIVERSO saludos a los aficionados desde Chile.,sport,12 Jun. 2015,Ecuador hace pausa y se relaja en Santiago,2015.0,ecuador hace pausa relaja santiago,caida ante chile debut ecuador copa america quedo enviaron traves universo saludos los aficionados desde chile,hac paus relaj santiag,hace pausa relaja santiago,ecuador hac paus relaj santiag,caid chil debut cop amer qued envi trav univers salud aficion desd chil,caida chile debut copa america quedo enviaron traves universo saludos aficionados chile,caid ante chil debut ecuador cop amer qued envi trav univers salud los aficion desd chil
El Comercio (Ecuador),ecuador_elcomercio_2017_26,"Bucaram, quien regreso el jueves a Ecuador tras 20 anos de autoexilio, era conducido en un pequeno camion a lo largo de unas 15 cuadras hasta una tarima ...",polit,17 Jun. 2017,Abdala Bucaram encabeza marcha de seguidores por Guayaquil,2017.0,abdala bucaram encabeza marcha seguidores por guayaquil,bucaram quien regreso jueves ecuador tras anos autoexilio era conducido pequeno camion largo unas cuadras hasta una tarima,abdal bucaram encabez march seguidor,abdala bucaram encabeza marcha seguidores,abdal bucaram encabez march seguidor por guayaquil,bucaram qui regres juev tras anos autoexili conduc pequen camion larg unas cuadr hast tarim,bucaram regreso jueves tras anos autoexilio conducido pequeno camion largo unas cuadras tarima,bucaram qui regres juev ecuador tras anos autoexili era conduc pequen camion larg unas cuadr hast una tarim
,,Las becas siempre son un aliciente para los aspirantes universitarios al momento de seleccionar un centro de estudios superior. Aqui tres universidades ...,educ,15 feb. 2018 -,Opciones de becas y otras ayudas economicas en tres universidades ...,,opciones becas otras ayudas economicas tres universidades,las becas siempre son aliciente para los aspirantes universitarios momento seleccionar centro estudios superior aqui tres universidades,opcion bec ayud econom tres univers,opciones becas ayudas economicas tres universidades,opcion bec otras ayud econom tres univers,bec siempr alicient par aspir universitari moment seleccion centr estudi superior aqui tres univers,becas siempre aliciente aspirantes universitarios momento seleccionar centro estudios superior aqui tres universidades,las bec siempr son alicient par los aspir universitari moment seleccion centr estudi superior aqui tres univers
El Comercio (Ecuador),ecuador_elcomercio_2016_99,"Los gobiernos de Ecuador y Emiratos Arabes Unidos suscribieron un acuerdo ... transporte, comercio, turismo y de la internacionalizacion de sus empresas en ...",polit,10 Nov. 2016,Ecuador y Emiratos Arabes firman acuerdo sobre asuntos tributarios,2016.0,ecuador emiratos arabes firman acuerdo sobre asuntos tributarios,los gobiernos ecuador emiratos arabes unidos suscribieron acuerdo transporte comercio turismo internacionalizacion sus empresas,emirat arab firm acuerd sobr asunt tributari,emiratos arabes firman acuerdo asuntos tributarios,ecuador emirat arab firm acuerd sobr asunt tributari,gobi emirat arab unid suscrib acuerd transport comerci turism empres,gobiernos emiratos arabes unidos suscribieron acuerdo transporte comercio turismo empresas,los gobi ecuador emirat arab unid suscrib acuerd transport comerci turism sus empres
La Hora (Ecuador),ecuador_lahora_2015_22,Ante el partido de hoy a las 19:00 que enfrenta a Ecuador y Argentina. Repasa algunos de los lugares para vivir este encuentro con la mayor de las ...,sport,7 Oct. 2015,Hinchadas se juntan para vivir la pasion del futbol,2015.0,hinchadas juntan para vivir pasion del futbol,ante partido hoy las que enfrenta ecuador argentina repasa algunos los lugares para vivir este encuentro con mayor las,hinch junt par viv pasion futbol,hinchadas juntan vivir pasion futbol,hinch junt par viv pasion del futbol,part hoy enfrent argentin repas algun lugar par viv encuentr mayor,partido hoy enfrenta argentina repasa lugares vivir encuentro mayor,ante part hoy las que enfrent ecuador argentin repas algun los lugar par viv este encuentr con mayor las
El Comercio (Ecuador),ecuador_elcomercio_2016_78,"Ecuador consiguio de la Union Europea (UE) la exclusion de un grupo de ... El ministro de Comercio Exterior, Juan Carlos Cassinelli, explico que en el acuerdo ...",economi,8 Nov. 2016,El acuerdo con la Union Europea excluye 91 productos agricolas ...,2016.0,acuerdo con union europea excluye productos agricolas,ecuador consiguio union europea exclusion grupo ministro comercio exterior juan carlos cassinelli explico que acuerdo,acuerd union europe exclu product agricol,acuerdo union europea excluye productos agricolas,acuerd con union europe exclu product agricol,consigui union europe exclusion grup ministr comerci exterior juan carl cassinelli explic acuerd,consiguio union europea exclusion grupo ministro comercio exterior juan carlos cassinelli explico acuerdo,ecuador consigui union europe exclusion grup ministr comerci exterior juan carl cassinelli explic que acuerd
La Hora (Ecuador),ecuador_lahora_2017_72,En Ecuador la cantidad de alimentos que se producen excede a la que se necesita para atender las necesidades de las personas. Aun asi una investigacion ...,health,21 ago. 2017,10.9% de la poblacion de Ecuador esta subalimentada,2017.0,poblacion ecuador esta subalimentada,ecuador cantidad alimentos que producen excede que necesita para atender las necesidades las personas aun asi una investigacion,poblacion subaliment,poblacion subalimentada,poblacion ecuador esta subaliment,cantid aliment produc exced necesit par atend neces person aun asi investigacion,cantidad alimentos producen excede necesita atender necesidades personas aun asi investigacion,ecuador cantid aliment que produc exced que necesit par atend las neces las person aun asi una investigacion
El Comercio,ecuador_elcomercio_2015_37,"Durante mas de ocho horas los ministros de Comercio Exterior de Ecuador y Colombia, Francisco Rivadeneira y Cecilia Alvarez - Correa analizaron la ...",economi,14 ene. 2015,Ecuador y Colombia en intensa negociacion por la salvaguardia,2015.0,ecuador colombia intensa negociacion por salvaguardia,durante mas ocho horas los ministros comercio exterior ecuador colombia francisco rivadeneira cecilia alvarez correa analizaron,colombi intens negociacion salvaguardi,colombia intensa negociacion salvaguardia,ecuador colombi intens negociacion por salvaguardi,durant mas ocho hor ministr comerci exterior colombi francisc rivadeneir cecili alvarez corre analiz,mas ocho horas ministros comercio exterior colombia francisco rivadeneira cecilia alvarez analizaron,durant mas ocho hor los ministr comerci exterior ecuador colombi francisc rivadeneir cecili alvarez corre analiz
El Comercio (Ecuador),ecuador_elcomercio_2017_106,"El expresidente ecuatoriano Abdala Bucaram, que regresara al pais el proximo sabado 17 de junio de 2017 despues de 20 anos de exilio en Panama, anuncio ...",polit,12 Jun. 2017,Abdala Bucaram pedira una reparacion civil al Estado ecuatoriano por ...,2017.0,abdala bucaram pedira una reparacion civil estado ecuatoriano por,expresidente ecuatoriano abdala bucaram que regresara pais proximo sabado junio despues anos exilio panama anuncio,abdal bucaram pedir reparacion civil ecuatorian,abdala bucaram pedira reparacion civil ecuatoriano,abdal bucaram pedir una reparacion civil estad ecuatorian por,expresident ecuatorian abdal bucaram regres pais proxim sab juni despu anos exili panam anunci,expresidente ecuatoriano abdala bucaram regresara pais proximo sabado junio despues anos exilio panama anuncio,expresident ecuatorian abdal bucaram que regres pais proxim sab juni despu anos exili panam anunci
El Universo,ecuador_eluniverso_2016_106,En octubre arrancara la primera ronda de negociaciones para la firma de un acuerdo comercial entre Ecuador y la Asociacion Europea de Libre Comercio (mas ...,economi,30 Jun. 2016,Ecuador iniciara conversaciones para acuerdo comercial con Islandia ...,2016.0,ecuador iniciara conversaciones para acuerdo comercial con islandia,octubre arrancara primera ronda negociaciones para firma acuerdo comercial entre ecuador asociacion europea libre comercio mas,inici convers par acuerd comercial islandi,iniciara conversaciones acuerdo comercial islandia,ecuador inici convers par acuerd comercial con islandi,octubr arranc primer rond negoci par firm acuerd comercial asociacion europe libr comerci mas,octubre arrancara primera ronda negociaciones firma acuerdo comercial asociacion europea libre comercio mas,octubr arranc primer rond negoci par firm acuerd comercial entre ecuador asociacion europe libr comerci mas
