diario|id_news|snippet|svm_prediction|time|title|year
El Comercio (Ecuador)|ecuador_elcomercio_2016_93|El presidente del Banco Mundial, Jim Yong Kim, expresó sus condolencias y solidaridad al pueblo de Ecuador, tras el fuerte terremoto que sacudió el país el ...|economi|17 abr. 2016|Banco Mundial ofrece apoyo a Ecuador ante el terremoto​|2016.0
El Universo|ecuador_eluniverso_2015_54|Ecuador cumplirá el pago de unos 650 millones de dólares en bonos 2015 de su deuda externa pública, que vencen en diciembre, dijo este viernes el ...|economi|11 dic. 2015|Ecuador cumplirá pago de $650 millones en bonos 2015 de deuda ...|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_100|... ha decidido reducir los subsidios de la gasolina extra y ecopaís en Ecuador. ... Este 18 de diciembre, EL COMERCIO accedió a la Pro forma 2019 ajustada ...|economi|18 dic. 2018|Ejecutivo decide reducir subsidio de las gasolinas extra y ecopaís; la ...|2018.0
El Universo|ecuador_eluniverso_2015_22|El Centro Internacional de Arreglo de Diferencias Relativas a Inversiones (Ciadi), entidad adscrita al Banco Mundial, notificó que Ecuador deberá pagar $ 1.061 ...|economi|2 Nov. 2015|$ 1.061 millones deberá pagar Ecuador a la petrolera Oxy|2015.0
El Comercio|ecuador_elcomercio_2015_17|El Comité del Centro de Diferencias Relativas a Inversiones (Ciadi) del Banco Mundial, que trataba el pedido de nulidad del Ecuador en el caso de arbitraje ...|economi|2 Nov. 2015|Ecuador deberá pagar a la Oxy USD 1061,7 millones|2015.0
El Comercio|ecuador_elcomercio_2015_35|"Ecuador ""respeta las obligaciones asumidas en los tratados internacionales de comercio de los cuales forma parte"" y, por esa razón la Asamblea Nacional ..."|economi|30 abr. 2015|Ecuador respeta tratados de propiedad y adelanta normativa contra ...|2015.0
El Comercio|ecuador_elcomercio_2015_52|"El presidente de Ecuador, Rafael Correa, dijo hoy, 10 de febrero de 2015, que ... ""golpeada de muerte"" con la firma de tratados de libre comercio con Estados ..."|economi|10 Feb. 2015|Presidente Correa ve necesario analizar la continuidad del país en la ...|2015.0
El Comercio|ecuador_elcomercio_2015_71|El ministro de Comercio Exterior de Ecuador, Diego Aulestia Valencia, y el consejero de Economía de Andalucía (sur), Antonio Ramírez, acuerdan impulsar las ...|economi|3 ago. 2015|Ecuador y región española de Andalucía fomentarán las relaciones ...|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_10|Tras casi una década de acercamiento entre Ecuador e Irán, las relaciones ... ventaja, pues Irán no pertenece a la Organización Mundial de Comercio (OMC).|economi|24 ago. 2016|Escaso resultado comercial han dejado los acuerdos con Irán|2016.0
El Comercio|ecuador_elcomercio_2015_106|El salario básico unificado para el 2016 será de USD 366. Así lo anunció el ministro de Trabajo, Leonardo Berrezueta, este 21 de diciembre del 2015.|economi|21 dic. 2015|El salario básico para el 2016 será USD 366|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_96|La entrada en vigor del acuerdo de libre comercio negociado entre la Unión Europea (UE) y Ecuador está más cerca después de que la Comisión de Comercio ...|economi|29 Nov. 2016|Comisión del Parlamento Europeo da su aprobación al acuerdo ...|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_28|El ministro de Comercio Exterior, Pablo Campana, anunció que tras las reuniones con el Gobierno de Estados Unidos, Ecuador ingresará en el Sistema ...|economi|22 dic. 2017|Ecuador no será excluido del Sistema General de Preferencias, según ...|2017.0
El Comercio|ecuador_elcomercio_2015_8|La cita que mantienen hoy, 18 de diciembre del 2015, los presidentes de Ecuador, Rafael Correa, y su homólogo del Perú, Ollanta Humala, durante el IX ...|economi|17 dic. 2015|Ecuador busca afianzar el comercio con Perú|2015.0
El Comercio|ecuador_elcomercio_2015_27|El nuevo ministro de Comercio Exterior, Diego Aulestia, deberá mantener el ... de Desarrollo Urbano y Economía del Desarrollo en Ecuador y Venezuela.|economi|19 Feb. 2015|Diego Aulestia se estrena en Comercio Exterior|2015.0
El Comercio|ecuador_elcomercio_2015_69|El Banco Central del Ecuador (BCE) bajó la previsión de crecimiento de la economía ecuatoriana del 4,1% inicialmente previsto a 1,9%, ratificando otras ...|economi|5 Jun. 2015|La economía se desacelerará al 1,9% el 2015|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_47|El acuerdo comercial que Ecuador firmará este viernes con la Unión ... Para José Antonio Hidalgo, presidente de la Cámara de Comercio Ecuatoriano China, ...|economi|10 Nov. 2016|Ecuador busca en la UE y China oxígeno para su economía|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_101|Ecuador recibió el respaldo de Francia para la firma del acuerdo comercial con ... además en París en un encuentro con inversionistas de comercio y sectores ...|economi|15 Sep. 2016|Francia respalda acuerdo comercial entre Ecuador y la UE|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_106|Nicaragua y Ecuador firmaron,el 5 de julio, un tratado de libre comercio de alcance parcial que facilitará el intercambio con preferencias arancelarias de cerca ...|economi|5 Jul. 2016|Nicaragua y Ecuador acuerdan facilitar intercambio de productos|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_109|El ministro coordinador de Sectores Estratégicos de Ecuador, Rafael Poveda, ... Poveda mantuvo reuniones con el ministro de Comercio de Corea del Sur, Joo ...|economi|5 Jul. 2016|Ecuador busca financiación surcoreana para la Refinería del Pacífico|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_13|El Presidente clausuró un encuentro organizado por la patronal española CEOE, la secretaría española de Estado de Comercio y el Gobierno de Ecuador.|economi|19 dic. 2017|Moreno ofrece a empresas españolas 'oportunidades para invertir' en ...|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_23|Ecuador es parte de la OPEP y eso le ha significado sacrificios en sus niveles de producción. El país se comprometió en noviembre del año pasado a bajar su ...|economi|28 Jul. 2017|Lenín Moreno dice que situación económica del país es crítica|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_69|El ministro de Comercio Exterior, Pablo Campana, asegura en una entrevista a ... En Dubái, en concreto, Ecuador busca incrementar sus exportaciones, y en el ...|economi|21 Nov. 2017|Ecuador busca sellar 'un acuerdo comercial a largo plazo' con Emiratos|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_91|Un 3,3% interanual creció la economía del país en el segundo trimestre del 2017, informó el viernes, 29 de septiembre del 2017, el Banco Central del Ecuador ...|economi|29 Sep. 2017|La economía ecuatoriana creció 3,3% en el segundo trimestre|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_5|Ecuador ha mantenido bajo el actual Gobierno de Moreno una posición ... un acuerdo de comercio o pacto similar al que firmó con la Unión Europea, que lleva ...|economi|27 Jun. 2018|Venezuela y la relación comercial centrarán la parada de Pence en ...|2018.0
El Comercio|ecuador_elcomercio_2018_35|Lo manifestó en una reunión con el presidente de Ecuador, Lenín Moreno, celebrada ... El presidente de la Cámara de Comercio chilena indicó que uno de sus ...|economi|24 Oct. 2018|Relación comercial entre Ecuador y Chile aumentó más de 40% en ...|2018.0
El Comercio|ecuador_elcomercio_2018_42|Ecuador buscará en China un acuerdo parcial de comercio durante la visita que realizarán la semana que viene el presidente, Lenín Moreno, y su ministro de ...|economi|7 dic. 2018|Ecuador buscará en China un acuerdo parcial de comercio|2018.0
El Comercio|ecuador_elcomercio_2018_51|Además, se fusionará el Ministerio de Comercio Exterior con el de Industrias. ... El Ecuador prevé ahorrar otros USD 350 millones anuales con la delegación, ...|economi|22 ago. 2018|Una a una, las medidas económicas anunciadas por Lenín Moreno|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_65|Ecuador “se está abriendo al mundo” en busca de inversiones y de ampliar sus ... El ministro de Comercio Exterior, Pablo Campana, quien también participó en ...|economi|30 May. 2018|EE.UU., prioridad en hoja de ruta comercial de Ecuador|2018.0
El Universo|ecuador_eluniverso_2015_40|La economía de Ecuador creció 3,8% en el 2014 frente al 4,6% del 2013, dijo el sábado el presidente Rafael Correa. En principio, el gobierno ecuatoriano ...|economi|28 Mar. 2015|Economía de Ecuador creció en un 3,8% durante el 2014|2015.0
El Universo|ecuador_eluniverso_2015_110|La economía de Ecuador creció 3,4% durante el tercer trimestre de 2014 comparada con igual período de 2013, informó el martes el Banco Central.|economi|6 ene. 2015|Economía de Ecuador creció en 3,4% al fin del 2014, según el Banco ...|2015.0
El Universo|ecuador_eluniverso_2016_26|Actualizado a las 07:39. Tras nueve años de espera y complicadas negociaciones desde que en julio de 2014 se alcanzara el acuerdo preliminar, Ecuador, ...|economi|11 Nov. 2016|Ecuador firma acuerdo comercial multipartes con la Unión Europea|2016.0
La Hora (Ecuador)|ecuador_lahora_2017_48|Salen del primer periodo de trabajo del Consejo Productivo. Las decisiones las tomará el presidente Moreno. Con la mesa de diálogos del sector Servicios ...|economi|1 Sep. 2017|10 propuestas para mejorar la economía|2017.0
El Comercio|ecuador_elcomercio_2015_92|Luego de realizar una evaluación sobre el manejo económico del Ecuador, ... La Organización Mundial de Comercio anunció que el país se comprometió a ...|economi|23 Oct. 2015|El FMI envió 10 recomendaciones a Ecuador|2015.0
La Hora (Ecuador)|ecuador_lahora_2018_45|Los principales países que invirtieron en Ecuador durante el tercer trimestre de 2017 fueron China, Panamá, Chile, Nueva Zelanda y Holanda. Que el consumo ...|economi|2 ene. 2018|Economía de Ecuador se recupera levemente gracias al consumo en ...|2018.0
El Comercio|ecuador_elcomercio_2015_37|Durante más de ocho horas los ministros de Comercio Exterior de Ecuador y Colombia, Francisco Rivadeneira y Cecilia Álvarez - Correa analizaron la ...|economi|14 ene. 2015|Ecuador y Colombia en intensa negociación por la salvaguardia|2015.0
El Comercio|ecuador_elcomercio_2015_95|"El exministro de Comercio Exterior será el ""representante del Ecuador ante el Fondo Monetario"", señaló Correa, que ha mantenido duras críticas contra el ..."|economi|2 May. 2015|El exministro Francisco Rivadeneira representará a Ecuador en el FMI|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_70|El motivo fue discutir la inversión actual y potencial de ese país en Ecuador, así ... Presidente de la Cámara de Comercio e Industria de la Federación de Rusia; ...|economi|28 Mar. 2016|Ecuador sigue estrechando relaciones con Bielorrusia y Rusia|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_88|Rusia y Ecuador, según confirma la declaración de Sochi, reiteraron su ... Ecuador, que busca apoyarse en Rusia para superar un modelo de comercio exterior ...|economi|14 Nov. 2016|Rusia y Ecuador firman un tratado para evitar la doble imposición y ...|2016.0
El Comercio|ecuador_elcomercio_2015_44|Ecuador cerró el 2014 con una inflación de 3,67% anual, lo que representa un incremento frente al 2,70% registrado en el 2013. Esta información la hizo ...|economi|8 ene. 2015|La inflación del 2014 fue 3,67% en Ecuador|2015.0
