id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2015_1|El Comercio|Nicolás Maduro llegó a Ecuador|El presidente venezolano, Nicolás Maduro, llegó, cerca del mediodía de este lunes 21 de septiembre, al aeropuerto Mariscal Sucre, en Tababela, para el ...|21 Sep. 2015|2015|polit
ecuador_elcomercio_2018_6|El Comercio (Ecuador)|Ecuador y China quieren profundizar su asociación estratégica integral|"""Ecuador es un amigo sincero y de confianza en América Latina"", señaló Yulin en declaraciones reproducidas por la Secretaría Nacional de Comunicación ..."|20 Mar. 2018|2018|polit
ecuador_elcomercio_2016_105|El Comercio (Ecuador)|Ecuador retomará el acercamiento con EE.UU. en comercio|UU. en Ecuador, Todd Chapman, con quien se reunió hace algunas semanas. Aclaró, sin embargo, que no se trata de un encuentro para concretar un Tratado ...|6 Jul. 2016|2016|polit
ecuador_elcomercio_2016_41|El Comercio (Ecuador)|Ecuador pagará USD 980 millones a Oxy por indemnización|Ecuador pagará USD 980 millones a la petrolera estadounidense Oxy hasta abril de este año, tras la condena que le impuso un tribunal de arbitraje del Banco ...|9 ene. 2016|2016|polit
ecuador_elcomercio_2017_6|El Comercio (Ecuador)|El Pleno del CNE proclamó a Lenín Moreno presidente electo de ...|Proclamar los resultados definitivos de la votación de la dignidad de Presidente y Vicepresidente del Ecuador y, consecuentemente, declarar electo, ...|20 abr. 2017|2017|polit
ecuador_elcomercio_2016_99|El Comercio (Ecuador)|Ecuador y Emiratos Árabes firman acuerdo sobre asuntos tributarios|Los gobiernos de Ecuador y Emiratos Árabes Unidos suscribieron un acuerdo ... transporte, comercio, turismo y de la internacionalización de sus empresas en ...|10 Nov. 2016|2016|polit
ecuador_elcomercio_2016_32|El Comercio (Ecuador)|Con 544 votos a favor el Parlamento europeo ratificó acuerdo ...|El Parlamento Europeo ratificó este miércoles 14 de diciembre de 2016 con amplia mayoría el tratado de libre comercio con Ecuador, que entrará en vigor el ...|14 dic. 2016|2016|polit
ecuador_elcomercio_2016_37|El Comercio (Ecuador)|Chevron gana en EE.UU. una importante batalla judicial contra Ecuador|Chevron ganó en Estados Unidos este 8 de agosto una importante batalla en la saga judicial que le enfrenta a las autoridades de Ecuador, que le acusan de ...|8 ago. 2016|2016|polit
ecuador_elcomercio_2016_38|El Comercio (Ecuador)|Ecuador propuso a Chevron crear una cuenta en garantía para el ...|El Ecuador tiene hasta hoy, 20 de julio del 2016, para pagar USD 96 millones a Chevron por un juicio de denegación de justicia. Sin embargo, el presidente ...|20 Jul. 2016|2016|polit
ecuador_elcomercio_2016_40|El Comercio (Ecuador)|El presidente de China visitará Ecuador este año|El presidente de China, Xi Jinping, visitará Ecuador este año, anunció este 4 de octubre del 2016 el canciller Guillaume Long, quien aseguro que la nación ...|4 Oct. 2016|2016|polit
ecuador_elcomercio_2016_19|El Comercio (Ecuador)|Ecuador protesta por agresión de guardias turcos en visita de Erdogan|El viceministro de Relaciones Exteriores, Fernando Yépez, convocó ayer, 5 de febrero del 2016, a su despacho al embajador de Turquía en Ecuador, Korkut ...|6 Feb. 2016|2016|polit
ecuador_elcomercio_2016_14|El Comercio (Ecuador)|Ecuador restringió temporalmente la comunicación en su Embajada ...|Mediante un comunicado emitido este 18 de octubre del 2016, la Cancillería ecuatoriana señaló que ha restringido temporalmente el acceso a parte de su ...|18 Oct. 2016|2016|polit
ecuador_elcomercio_2016_35|El Comercio (Ecuador)|Acuerdo Ecuador-UE|Luego de años de negociaciones y tropiezos, el Acuerdo Multipartes del Ecuador con la Unión Europea salió adelante. A falta de la ratificación en la Asamblea, ...|17 dic. 2016|2016|polit
ecuador_elcomercio_2016_12|El Comercio (Ecuador)|Julián Assange: 'No me someteré a ninguna diligencia'|... Carlos Poveda, presentó un escrito, al que EL COMERCIO tuvo acceso, ante la ... “El Gobierno del Ecuador respeta el principio de no intervención en los ...|13 Nov. 2016|2016|polit
ecuador_elcomercio_2015_91|El Comercio|Bachelet visitará Ecuador la próxima semana por reunión binacional|La presidenta de Chile, Michelle Bachelet, visitará Ecuador el 14 y 15 de octubre de 2015 con ocasión de celebrarse en Quito la cuarta reunión del Consejo ...|8 Oct. 2015|2015|polit
ecuador_elcomercio_2015_29|El Comercio|China, el aliado estratégico de Ecuador|Desde los inicios de la Revolución Ciudadana, China se ha convertido en el país con el cual Ecuador ha mantenido estrechas relaciones. La visita oficial del ...|9 ene. 2015|2015|polit
ecuador_elcomercio_2015_55|El Comercio|Ecuador contestó a Chevron sobre supuesto fraude procesal|Diego García, procurador del Estado, señaló que la prueba forense del Ecuador, que incluye la pericia de las computadoras del Juez que dictó la sentencia del ...|12 May. 2015|2015|polit
ecuador_elcomercio_2015_62|El Comercio|Tribunal arbitral reconoce argumentos de Ecuador en litigio contra ...|El Tribunal Arbitral que conoce el caso Chevron III contra el Ecuador emitió hoy jueves 12 de marzo del 2015 un dictamen que reconoce parte de los ...|12 Mar. 2015|2015|polit
ecuador_elcomercio_2015_76|El Comercio|Menchú respalda a Ecuador en campaña contra Chevron por ...|La Premio Nobel de la Paz guatemalteca Rigoberta Menchú dio hoy su apoyo a la campaña del gobierno ecuatoriano en rechazo a la contaminación que dejó ...|3 Jun. 2015|2015|polit
ecuador_elcomercio_2017_84|El Comercio (Ecuador)|Ecuador responde a decisión del Mercosur de suspender a Venezuela|Ecuador advierte que las decisiones de Caracas no pueden ser ... para los Pueblos de Nuestra América – Tratado de Comercio de los Pueblos (ALBA-TCP).|7 ago. 2017|2017|polit
ecuador_elcomercio_2015_6|El Comercio|Canciller cubano visitó Ecuador y Nicaragua para abordar problema ...|El canciller de Cuba, Bruno Rodríguez, viajó a Ecuador y Nicaragua los días 19 y 20 de noviembre, para tratar con sus presidentes, Rafael Correa y Daniel ...|22 Nov. 2015|2015|polit
