id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2015_3|El Comercio|La Selección ecuatoriana lidera las eliminatorias al ganar 2-1 a Uruguay|La Selección ecuatoriana de fútbol ganó 2-1 a su similar de Uruguay suma el puntaje perfecto y lidera el torneo premundialista jugadas las tres primeras ...|12 Nov. 2015|2015|sport
ecuador_elcomercio_2015_4|El Comercio|Las generales para el partido Ecuador vs. Bolivia se agotaron|Las entradas para las localidades de general del partido Ecuador vs. Bolivia por la segunda fecha de la eliminatoria mundialista de la Copa del Mundo Rusia ...|12 Oct. 2015|2015|sport
ecuador_elcomercio_2015_7|El Comercio|Argentina sin Lionel Messi derrotó al Ecuador en partido amistoso|La Selección de Ecuador perdió con Argentina subcampeón mundial en el segundo amistoso desde que Gustavo Quinteros asumió la dirección técnica de la ...|31 Mar. 2015|2015|sport
ecuador_elcomercio_2015_9|El Comercio|¡Monumental victoria 2-0 de la Tricolor en Buenos Aires!|En una histórica fecha para el fútbol ecuatoriano la Selección de Ecuador ganó 2-0 al conjunto argentino en el estadio Monumental Antonio Vespucio Liberti ...|9 Oct. 2015|2015|sport
ecuador_elcomercio_2015_11|El Comercio|Conozca el rendimiento de Venezuela jugando como local ante ...|La Selección de Ecuador tiene la posibilidad de finalizar las eliminatorias ... Una crónica de diario EL COMERCIO en ese entonces describió el partido con el ...|17 Nov. 2015|2015|sport
ecuador_elcomercio_2015_38|El Comercio|El apagón detuvo el inicio del Ecuador Open Quito|A las 18:30 de este lunes 2 de febrero arrancó el primer partido del cuadro principal del Ecuador Open Quito entre el argentino Horacio Zeballos (puesto 124 ...|2 Feb. 2015|2015|sport
ecuador_elcomercio_2015_51|El Comercio|La Selección de Ecuador ya tiene los 23 que irán a la Copa América|En un inicio Víctor Mestanza jefe de prensa de la Federación Ecuatoriana de Fútbol (FEF) anticipó que no habría preguntas para la intervención del ...|1 Jun. 2015|2015|sport
ecuador_elcomercio_2015_53|El Comercio|El ATP 250 es un evento All you need Ecuador|El ATP 250 Ecuador Open Quito también tiene la marca país. La leyenda All you need is Ecuador se puede leer en las cuatro canchas oficiales donde se ...|2 Feb. 2015|2015|sport
ecuador_elcomercio_2015_70|El Comercio|La 'Sombra' Espinoza exmundialista con Ecuador en 2006 en ...|El exfutbolista imbabureño Giovanny 'La Sombra' Espinoza ingresó la madrugada del 5 de noviembre del 2015 al hospital Carlos Andrade Marín en el ...|5 Nov. 2015|2015|sport
ecuador_elcomercio_2015_74|El Comercio|Ecuador y Chile firmaron convenio para explotación minera en Intag|La mañana de hoy lunes 7 de diciembre del 2015 en la Casa Guayasamín en Quito la Empresa Nacional Minera del Ecuador (Enami) y Codelco de Chile ...|7 dic. 2015|2015|sport
ecuador_elcomercio_2015_86|El Comercio|Ecuador lleva cinco legionarios al Sudamericano|Una Selección con mayor experiencia y participación internacional lleva Ecuador al Sudamericano Sub 20 Juventud de América que comenzará el próximo 14 ...|10 ene. 2015|2015|sport
ecuador_elcomercio_2015_101|El Comercio|La Selección ecuatoriana Sub 17 derrotó a la favorita Argentina|La selección de Ecuador Sub 17 inició con pie derecho el Sudamericano Masculino Sub 17 que se celebra en Paraguay. El combinado tricolor derrotó al ...|6 Mar. 2015|2015|sport
ecuador_elcomercio_2015_103|El Comercio|Ecuador derrotó a Islas Vírgenes en el Preolímpico de Canadá|Ecuador debutó con una victoria en el Torneo de las Américas de Básquetbol Femenino que comenzó esta tarde en Edmonton Canadá. La Tricolor venció a ...|9 ago. 2015|2015|sport
ecuador_elcomercio_2015_104|El Comercio|River Plate Ecuador sorprendió a Barcelona Sporting Club a domicilio|La situación de River Plate de Ecuador en cambio es favorable ya que se ubica en tercer puesto por debajo de Independiente del Valle y Emelec primero y ...|8 Feb. 2015|2015|sport
ecuador_elcomercio_2016_4|El Comercio (Ecuador)|Carlos Villacís confirmó que la señal del partido Ecuador vs ...|Durante la mañana de este martes 15 de noviembre de 2016 trascendió la información que la señal de televisión abierta para Quito no se abriría según ...|15 Nov. 2016|2016|sport
ecuador_elcomercio_2016_11|El Comercio (Ecuador)|¿Qué alineación pondrá Gustavo Quinteros ante Chile?|Gustavo Quinteros entrenador de Ecuador se puso radical e hizo cambios en el arco en la defensa y en el ataque. El técnico ensayó variantes para conformar ...|5 Oct. 2016|2016|sport
ecuador_elcomercio_2016_33|El Comercio (Ecuador)|10 cosas que quizás no sabías sobre Independiente del Valle|... el corazón no solo de su hinchada sino de gran parte de la afición ecuatoriana que acompañado el camino de los 'negriazules' por el torneo internacional.|26 May. 2016|2016|sport
ecuador_elcomercio_2016_36|El Comercio (Ecuador)|Ronaldinho escribió: 'gracias Barcelona gracias Ecuador'|Ronaldinho descansó en un hotel de Guayaquil la mañana de este sábado 30 de enero. Aunque el jugador pidió visitar a los futbolistas de las inferiores del ...|30 ene. 2016|2016|sport
ecuador_elcomercio_2016_52|El Comercio (Ecuador)|Luis Chiriboga renunció a la Ecuafútbol luego de 18 años de ...|... presunto lavado de activos Luis Chiriboga Acosta renunció este lunes 7 de marzo del 2016 a la presidencia de la Federación Ecuatoriana de Fútbol (FEF).|7 Mar. 2016|2016|sport
ecuador_elcomercio_2016_108|El Comercio (Ecuador)|Las cuatro claves del partido Independiente del Valle ante River Plate ...|Independiente del Valle de Ecuador y River Plate de Argentina se enfrentarán este jueves 28 de abril por primera ... Foto: Pavel Calahorrano/ EL COMERCIO.|27 abr. 2016|2016|sport
ecuador_elcomercio_2017_8|El Comercio (Ecuador)|Fidel Martínez se perderá el partido contra Perú en la fecha 16 de las ...|La Selección ecuatoriana tiene una baja para medir a Perú el próximo 5 de septiembre. Fidel Martínez acumuló su segunda tarjeta amarilla la noche del ...|31 ago. 2017|2017|sport
ecuador_elcomercio_2017_12|El Comercio (Ecuador)|La Selección de Colombia ganó 2-1 a Ecuador en el Sudamericano ...|La Selección de Colombia se impuso 2-1 a Ecuador en el Campeonato Sudamericano Chile 2017 de la categoría Sub 17 la noche del 23 de febrero.|23 Feb. 2017|2017|sport
ecuador_elcomercio_2017_19|El Comercio (Ecuador)|Medios argentinos destacan el 'milagro' de Atlético Tucumán en ...|Los jugadores utilizaron las camisetas del seleccionado argentino Sub 20 que disputa en Ecuador el torneo Sudamericano debido a que la vestimenta del ...|8 Feb. 2017|2017|sport
ecuador_elcomercio_2017_21|El Comercio (Ecuador)|¡Decepción en el Atahualpa!|A Ecuador no se le recuerda un inicio tan dubitativo en el Atahualpa que había sido su fortín. Perú no había ganado nunca en Quito por eliminatorias. Ayer los ...|5 Sep. 2017|2017|sport
ecuador_elcomercio_2017_40|El Comercio (Ecuador)|¿Hay reemplazos para 'Felipao' Caicedo en la Selección de Ecuador?|El retiro de Felipe Caicedo de la Selección de Ecuador a sus 29 años abrió una interrogante: ¿quién reemplaza a 'Felipao' en esa posición? Con Jorge Célico ...|15 Sep. 2017|2017|sport
ecuador_elcomercio_2017_67|El Comercio (Ecuador)|La Selección Sub 20 de Ecuador ya es huésped de Corea|La Selección de Ecuador Sub 20 arribó a Incheon (Corea del Sur) el martes 16 de mayo luego de un viaje de 30 horas aproximadamente con una escala en ...|16 May. 2017|2017|sport
ecuador_elcomercio_2017_79|El Comercio (Ecuador)|Víctor Estrella Burgos avanzó en el ATP 250 Ecuador Open|Víctor Estrella Burgos volvió a sorprender en Quito y avanzó en el ATP 250 Ecuador Open al derrotar a Andrej Martin por 6-4 2-6 y 6-4 en una hora y 52 ...|8 Feb. 2017|2017|sport
ecuador_elcomercio_2017_95|El Comercio (Ecuador)|Una lesión dejó a Fidel Martinez fuera de la Selección|El delantero del Atlas mexicano Fidel Martínez quedó descartado de la Selección Ecuatoriana de Fútbol para el partido ante Colombia por la fecha 14 de las ...|25 Mar. 2017|2017|sport
ecuador_elcomercio_2018_19|El Comercio|Con goles de Antonio y Enner Valencia Ecuador ganó 2-0 a Perú en ...|Fue solo un cotejo amistoso pero el triunfo en Lima en un estadio Nacional con miles de aficionados invita a soñar en una futura eliminatoria eficaz para el ...|15 Nov. 2018|2018|sport
ecuador_elcomercio_2016_22|El Comercio (Ecuador)|Marcos Caicedo peleará el puesto en la Selección de Ecuador|Gustavo Quinteros DT de la Selección de Ecuador realizó el entrenamiento en el complejo Pichincha del Defensor Sporting en suelo uruguayo. El ausente en ...|8 Nov. 2016|2016|sport
